1,3324,19124
2,6305,36276
3,8802,50688
4,10369,59782
5,10953,63234
6,11160,64458
7,10914,63084
8,11059,63967
9,10974,63479
10,11048,63911
11,11103,64261
12,10988,63604
13,11070,64081
14,11120,64393
15,10989,63632
16,11146,64543
17,11246,65125
18,10969,63511
19,11074,64159
20,11126,64475
21,11125,64458
22,11077,64158
23,11153,64623
24,11132,64527
25,11068,64127
26,11214,65007
27,11150,64624
28,11185,64796
29,11303,65500
30,11082,64222
31,11159,64654
32,11361,65856
33,11136,64551
34,11270,65331
35,11168,64715
36,11261,65243
37,11208,64969
38,11443,66342
39,11237,65140
40,11214,65012
41,11216,64988
42,11223,65061
43,11237,65139
44,11328,65675
45,11263,65302
46,11305,65539
47,11279,65374
48,11362,65842
49,11286,65421
50,11404,66113
51,11426,66294
52,11466,66455
53,11278,65375
54,11421,66247
55,11314,65647
56,11377,66000
57,11236,65153
58,11343,65780
59,11296,65540
60,11477,66523
61,11489,66646
62,11399,66104
63,11377,65965
64,11316,65600
65,11428,66256
66,11333,65693
67,11373,65913
68,11305,65585
69,11413,66184
70,11360,65871
71,11516,66789
72,11310,65561
73,11334,65695
74,11449,66357
75,11319,65657
76,11452,66419
77,11409,66179
78,11390,66105
79,11358,65865
80,11483,66615
81,11402,66138
82,11460,66439
83,11700,67845
84,11450,66394
85,11425,66202
86,11459,66466
87,11506,66685
88,11664,67659
89,11515,66780
90,11565,67140
91,11553,67082
92,11481,66635
93,11483,66707
94,11559,67090
95,11445,66369
96,11523,66817
97,11480,66539
98,11483,66564
99,11513,66733
100,11418,66176
101,11570,67103
102,11575,67165
103,11438,66269
104,11510,66779
105,11465,66528
106,11465,66531
107,11498,66752
108,11653,67679
109,11542,67048
110,11664,67687
111,11682,67848
112,11589,67247
113,11486,66688
114,11561,67070
115,11631,67501
116,11511,66760
117,11639,67491
118,11647,67517
119,11647,67488
120,11516,66781
121,11552,67008
122,11562,67014
123,11683,67738
124,11780,68294
125,11470,66539
126,11644,67515
127,11489,66674
128,11638,67497
129,11633,67412
130,11728,68078
131,11722,68072
132,11668,67758
133,11636,67629
134,11701,68005
135,11771,68357
136,11761,68328
137,11655,67715
138,11738,68230
139,11867,68901
140,11886,69024
141,11685,67881
142,11679,67863
143,11837,68708
144,11734,68085
145,11786,68391
146,11598,67272
147,11688,67757
148,11853,68718
149,11699,67873
150,11820,68597
151,11657,67560
152,11768,68220
153,11753,68089
154,11809,68452
155,11834,68601
156,11773,68247
157,11876,68794
158,11892,69011
159,11774,68272
160,11751,68184
161,11743,68076
162,11716,67927
163,11786,68455
164,11936,69262
165,12053,69912
166,11749,68162
167,11885,69029
168,11926,69314
169,11894,69120
170,11870,68930
171,11904,69176
172,11762,68315
173,11939,69357
174,11812,68648
175,11910,69173
176,11854,68881
177,11915,69251
178,11913,69277
179,11891,69139
180,11877,69077
181,11810,68723
182,11897,69169
183,11904,69214
184,11995,69746
185,11845,68876
186,11693,67992
187,11903,69168
188,12021,69838
189,12003,69847
190,11988,69654
191,12055,70108
192,11912,69211
193,12017,69751
194,11860,68868
195,11849,68819
196,12080,70092
197,11941,69311
198,12072,70057
199,11951,69285
200,12056,69931
201,11937,69163
202,12070,69967
203,12000,69533
204,12017,69655
205,12022,69681
206,12060,69882
207,12003,69578
208,11986,69468
209,11967,69342
210,11976,69322
211,12039,69804
212,12082,70034
213,11964,69361
214,11978,69404
215,12021,69617
216,11948,69218
218,3763,22096
219,0,0
